,Case Number,Date,Type,Country,Area,Activity,Injury,Fatal (Y/N)
20,2016.07.29,29-Jul-16,Unprovoked,SPAIN,Alicante Province,Swimming,Lacerations to right hand,N
21,2016.07.28.R,28-Jul-16,Unprovoked,CHINA,Hong Kong,Swimming,Lacerations to leg,N
22,2016.07.28,28-Jul-16,Boat,AUSTRALIA,Western Australia,Kayaking,"No injury, shark nudged kayak repeatedly",N
23,2016.07.27,27-Jul-16,Provoked,USA,Florida,Lobstering,Laceration to left forearm PROVOKED INCIDENT,N
24,2016.07.26,26-Jul-16,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury. Leg rope severed, knocked off board by shark",N
25,2016.07.24,24-Jul-16,Unprovoked,JAPAN,Kochi Prefecture,Surfing,Lacerations to left leg,N
26,2016.07.23.b,23-Jul-16,Unprovoked,AUSTRALIA,Tasmania,Surfing,Calf bumped but no injury,N
27,2016.07.23.a,23-Jul-16,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,Lacerations to face and right leg,N
28,2016.07.20,20-Jul-16,Provoked,AUSTRALIA,Queensland,Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,N
29,2016.07.17,17-Jul-16,Boat,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,"No injury, shark bit trolling motor",N
30,2016.07.16.b,16-Jul-16,Unprovoked,USA,Florida,Surfing,Minor injury to leg,N
31,2016.07.16.a,16-Jul-16,Unprovoked,USA,Florida,,Minor injury to toes,N
32,2016.07.15,15-Jul-16,Unprovoked,USA,South Carolina,Swimming,Puncture wounds to foot,N
33,2016.07.14.4,Reported  14-Jul-2016,Unprovoked,BAHAMAS,,Scuba Diving,Face bruised when partly blind shark collided with him,N
34,2016.07.08.R,Reported 08-Jul-2016,Unprovoked,SPAIN,Canary Islands,Wading,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
35,2016.07.08,08-Jul-16,Boat,USA,California,Fishing for squid,"No injury. Hull bitten, tooth fragment recovered",N
36,2016.07.07.b,07-Jul-16,Provoked,USA,Massachusetts,Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
37,2016.07.07.a,07-Jul-16,Boat,USA,California,Fishing for sharks,"No injury. Hull bitten, tooth fragment recovered",N
38,2016.07.06,06-Jul-16,Unprovoked,USA,Florida,Swimming,"Buttocks, thigh, left hand & wrist injured",N
39,2016.07.04,04-Jul-16,Provoked,AUSTRALIA,Queensland,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
40,2016.06.27,27-Jun-16,Unprovoked,USA,South Carolina,,Minor injury,N
41,2016.06.25,25-Jun-16,Unprovoked,USA,North Carolina,Surfing,Foot injured,N
42,2016.06.24,24-Jun-16,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,Severe bite to right hand,N
43,2016.06.23,23-Jun-16,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,Injuries to left leg & right hand,N
44,2016.06.21.b,21-Jun-16,Unprovoked,USA,South Carolina,Floating,Lacerations and punctures to foot,N
45,2016.06.21.a,21-Jun-16,Unprovoked,USA,Florida,Wading,Injuries to right calf,N
46,2016.06.15.b,15-Jun-16,Unprovoked,USA,Hawaii,Surfing,Single puncture wound to arm,N
47,2016.06.15.a,15-Jun-16,Provoked,AUSTRALIA,Western Australia,Spearfishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
48,2016.06.14,14-Jun-16,Unprovoked,USA,Texas,Floating in tube,Injury to lower leg,N
49,2016.06.11,11-Jun-16,Unprovoked,USA,North Carolina,Standing,Laceration to wrist,N
50,2016.06.07,07-Jun-16,Invalid,USA,South Carolina,Surfing,"No injury, board damaged",N
51,2016.06.05.b,05-Jun-16,Unprovoked,USA,Florida,Swimming,Leg bitten,N
52,2016.06.05.a,05-Jun-16,Unprovoked,AUSTRALIA,Western Australia,Diving,FATAL,Y
53,2016.06.04,04-Jun-16,Unprovoked,EGYPT,Suez,Swimming,"Leg severely bitten, surgically amputated",N
54,2016.06.02.b,02-Jun-16,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,"No injury, but sharks repeatedly hit their fins and guns",
55,2016.06.02.a,02-Jun-16,Unprovoked,NEW CALEDONIA,,Kite surfing,Laceration to heel,N
56,2016.05.31,31-May-16,Unprovoked,AUSTRALIA,Western Australia,Surfing,FATAL,Y
57,2016.05.29.b,29-May-16,Unprovoked,USA,California,Swimming,Injuries to arm and shoulder,N
58,2016.05.29.a,29-May-16,Unprovoked,USA,Florida,Swimming,Injury to posterior right leg,N
59,2016.05.22,22-May-16,Unprovoked,USA,Florida,Swimming,Puncture wounds to thigh,N
60,2016.05.21.b,21-May-16,Unprovoked,USA,Florida,Swimming,Lacerations and puncture wounds to foot and ankle,N
61,2016.05.21.a,21-May-16,Unprovoked,USA,Florida,Swimming,"Back, arm & hand injured",N
62,2016.05.18,18-May-16,Unprovoked,USA,Florida,Swimming,Ankle bitten,N
63,2016.05.15,15-May-16,Provoked,USA,Florida,Teasing a shark,Arm grabbed PROVOKED INCIDENT,N
64,2016.05.03,03-May-16,Unprovoked,USA,Hawaii,Floating,Minor lacerations to right shoulder,N
65,2016.05.02,02-May-16,Provoked,NEW ZEALAND,North Island,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,N
66,2016.04.25,25-Apr-16,Unprovoked,INDONESIA,Bali,Surfing,Elbow bitten,N
67,2016.04.23,23-Apr-16,Unprovoked,USA,Florida,Surfing,Minor injury to left foot,N
68,2016.04.22,22-Apr-16,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,"No injury, surf-ski bitten",N
69,2016.04.19,19-Apr-16,Unprovoked,AUSTRALIA,New South Wales,Swimming,Minor puncture wound to foot,N
70,2016.04.18,18-Apr-16,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N
71,2016.04.13,13-Apr-16,Unprovoked,USA,Florida,Spearfishing,Multiple bites to right arm,N
72,2016.04.09,09-Apr-16,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,FATAL,Y
73,2016.04.08,08-Apr-16,Invalid,CAPE VERDE,Boa Vista Island,,"""Serious""",N
74,2016.04.07.b,07-Apr-16,Unprovoked,USA,Florida,Fishing,Left hand bitten,N
75,2016.04.07.a,07-Apr-16,Invalid,USA,Florida,SUP,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N
76,2016.03.31,31-Mar-16,Unprovoked,USA,Hawaii,Snorkeling,Minor injury to left foot,N
77,2016.03.30,30-Mar-16,Unprovoked,AUSTRALIA,New South Wales,Surfing,Severe injury to thigh,N
78,2016.03.28.b,28-Mar-16,Unprovoked,USA,Florida,,Minor injury to arm. Possibly caused by smalll nurse shark,N
79,2016.03.28.a,28-Mar-16,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, board dented",N
80,2016.03.26,26-Mar-16,Provoked,BAHAMAS,,,Minor injury to chest PROVOKED INCIDENT,N
81,2016.03.13,13-Mar-16,Invalid,USA,California,Surfing,Board reportedly bumped by shark. No injury,N
82,2016.03.11,11-Mar-16,Unprovoked,USA,Florida,Body surfing,Lacerations to right foot and ankle,N
83,2016.03.10,10-Mar-16,Unprovoked,Fiji,Vanua Levu,Diving for beche-de-mer,FATAL,Y
84,2016.03.04,04-Mar-16,Unprovoked,USA,Florida,,Superficial injury to foot,N
85,2016.03.03.R,Reported 03-Mar-2016,Unprovoked,AUSTRALIA,South Australia,Fishing,Puncture wounds to right calf,N
86,2016.03.02,02-Mar-16,Unprovoked,BRAZIL,Santa Catarina State,Swimming,Minor injury to head,N
87,2016.02.22,22-Feb-16,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,Puncture wounds to right thigh,N
88,2016.02.19, 19-Feb-2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,Forearm bitten,N
89,2016.02.12,12-Feb-16,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,Avulsion injury to lower leg,N
90,2016.02.10.R,Reported 10-Feb-2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,Minor injury to wrist from Southern stingray,N
91,2016.02.10,10-Feb-16,Invalid,AUSTRALIA,Tasmania,Surfing,"No injury, knocked off board",N
92,2016.02.05,05-Feb-16,Unprovoked,AUSTRALIA,Queensland,Walking,Foot nipped,N
93,2016.02.04,04-Feb-16,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,"No injury, shark bit board",N
94,2016.01.29,29-Jan-16,Boat,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,"No injury, shark capsized kayak",N
95,2016.01.28,28-Jan-16,Unprovoked,USA,Hawaii,Surfing,Lacerations to both hands,N
96,2016.01.25,25-Jan-16,Unprovoked,USA,Hawaii,Surfing,No injury,N
97,2016.01.24.b,24-Jan-16,Unprovoked,USA,Texas,Spearfishing,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
98,2016.01.24.a,24-Jan-16,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,"No injury to occupants, shark leapt into boat",N
99,2016.01.23,23-Jan-16,Unprovoked,USA,Hawaii,Paddle boarding,No injury,N
100,2016.01.11.R,Reported 11-Jan-2016,Unprovoked,AUSTRALIA,Queensland,Surfing,Laceration to right foot,N
101,2016.01.05,05-Jan-16,Unprovoked,AUSTRALIA,Queensland,Wading,Laceration to right calf,N
102,2016.01.02,02-Jan-16,Unprovoked,AUSTRALIA,Queensland,Spearfishing,Lacerations to arms & leg,N
103,2015.12.26,26-Dec-15,Boat,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,"No injury, kayak damaged",N
104,2015.12.25,25-Dec-15,Unprovoked,SPAIN,Grand Canary Island,Swimming,Lacerations to left forearm,N
105,2015.12.22,22-Dec-15,Unprovoked,USA,Hawaii,Paddle boarding,"No injury, shark bit board",N
106,2015.12.21.b,21-Dec-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, shark leapt on surfboard",N
107,2015.12.21.a,21-Dec-15,Unprovoked,BRAZIL,Pernambuco,Scuba diving,Right hand & part of forearm removed,N
108,2015.12.19,19-Dec-15,Unprovoked,ARUBA,,Sea disaster,FATAL,Y
109,2015.12.13,13-Dec-15,Boat,AUSTRALIA,New South Wales,Fishing,"No injury, shark rammed boat & bit motor",N
110,2015.12.11,11-Dec-15,Unprovoked,BAHAMAS,,Lobster fishing,"Bitten on thigh, abdomen & hand",N
111,2015.12.08,08-Dec-15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,Lacerations to both hands and forearms,N
112,2015.11.16,16-Nov-15,Unprovoked,USA,Florida,Surfing,Right heel injured,N
113,2015.11.15.b,15-Nov-15,Unprovoked,USA,Florida,Swimming,Leg injured,N
114,2015.11.15.a,15-Nov-15,Unprovoked,USA,Florida,Surfing,Lacerations to hand,N
115,2015.11.10,10-Nov-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Injury to left thigh,N
116,2015.12.23,07-Nov-15,Invalid,USA,Florida,Surfing,Lower left leg injured,N
117,2015.11.03,03-Nov-15,Unprovoked,USA,Hawaii,Swimming,Laceration to right ankle,N
118,2015.11.01.b,01-Nov-15,Unprovoked,USA,Florida,Wading,Injury to right ankle/calf & hand,N
119,2015.11.01.a,01-Nov-15,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,"Arms severely injured, surgically amputated",N
120,2015.10.30,30-Oct-15,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,Minor injury,N
121,2015.10.28.a,28-Oct-15,Unprovoked,USA,Hawaii,Body boarding,"Lacerations & puncture wounds to right thigh, calf & ankle",N
122,2015.10.25,25-Oct-15,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,"Lacerations to right calf, knee & hip",N
123,2015.10.21,21-Oct-15,Unprovoked,USA,Florida,Surfing,Lacerations to left hand,N
124,2015.10.19,19-Oct-15,Unprovoked,USA,Florida,Surfing,Left foot bitten,N
125,2015.10.17.c,17-Oct-15,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,FATAL,Y
126,2015.10.17.b,17-Oct-15,Invalid,USA,Hawaii,Surfing,Left foot bitten by eel,N
127,2015.10.17.a,17-Oct-15,Unprovoked,USA,Hawaii,Swimming,Injuries to lower legs,N
128,2015.10.13,13-Oct-15,Boat,USA,California,Kayak Fishing,"No injury, shark rammed kayak repeatedly",N
129,2015.10.09.b,09-Oct-15,Unprovoked,USA,South Carolina,Boogie boarding,Laceration to forearm,N
130,2015.10.09.a,09-Oct-15,Unprovoked,USA,Hawaii,Surfing,"Left leg severed below the knee, defense injuries to left hand",N
131,2015.10.08,08-Oct-15,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,"Arm severely injured, surgically amputated",N
132,2015.10.07,07-Oct-15,Unprovoked,AUSTRALIA,Western Australia,Surfing,Foot injured,N
133,2015.10.05.b,05-Oct-15,Unprovoked,USA,Florida,Body boarding,2 lacerations to ankle,N
134,2015.10.05.a,05-Oct-15,Unprovoked,USA,Texas,Wading,Foot & hands bitten,N
135,2015.10.04,04-Oct-15,Unprovoked,USA,Florida,Surfing,Severe lacerations to left hand,N
136,2015.09.29,29-Sep-15,Unprovoked,USA,Florida,Surfing,"Laceration to heel, puncture wounds to dorsum of foot",N
137,2015.09.26,26-Sep-15,Unprovoked,AUSTRALIA,Queensland,Snorkeling,Laceration to leg,N
138,2015.09.24,24-Sep-15,Unprovoked,USA,California,Kayak fishing,"No injury, kayak damaged",N
139,2015.09.20.d,20-Sep-15,Unprovoked,USA,Florida,Surfing,Minor injury to left ankle,N
140,2015.09.20.c,20-Sep-15,Unprovoked,USA,Hawaii,Spearfishing,Severe laceration to left leg,N
141,2015.09.20.b,20-Sep-15,Unprovoked,USA,Florida,Wading,Significant injuries to leg,N
142,2015.09.20.a,20-Sep-15,Unprovoked,USA,Florida,Photographing fish,Injury to right hand / wrist,N
143,2015.09.18,18-Sep-15,Unprovoked,USA,Florida,Swimming,Lacerations to calf,N
144,2015.09.17,17-Sep-15,Unprovoked,USA,Florida,Surfing,Injury to right foot,N
145,2015.09.08,08-Sep-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Minor laceration to hand,N
146,2015.09.06,06-Sep-15,Unprovoked,USA,California,Stand-Up Paddleboarding,"No injury, shark struck board, tossing her into the sea",N
147,2015.09.05,05-Sep-15,Provoked,USA,California,Kayak Fishing,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N
148,2015.09.04,04-Sep-15,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,Inuries to lower left leg & ankle,N
149,2015.09.03,03-Sep-15,Unprovoked,USA,South Carolina,,Right foot bitten,N
150,2015.09.01,01-Sep-15,Unprovoked,THAILAND,Phuket,Wading,Left foot & ankle bitten,N
151,2015.09.00,Sep-15,Unprovoked,FIJI,,Spearfishing,Leg bitten,N
152,2015.08.29.b,29-Aug-15,Unprovoked,USA,California,Surfing,"No injury, surfboard bitten",N
153,2015.08.29.a,29-Aug-15,Unprovoked,USA,California,Surfing,"No injury, shark struk sufer's leg and his board",N
154,2015.08.22.b,22-Aug-15,Invalid,USA,Florida,,Wound to right lower leg,N
155,2015.08.22.a,22-Aug-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Severe laceration to left buttock & thigh,N
156,2015.08.20,20-Aug-15,Unprovoked,USA,South Carolina,Surfing,"Injuries to left calf, arm and hand",N
157,2015.08.19,19-Aug-15,Unprovoked,USA,Florida,Walking,Lacerations to right leg,N
158,2015.08.18.b,18-Aug-15,Unprovoked,USA,California,Kayak Fishing,"No injury, kayak bitten",N
159,2015.08.18.a,18-Aug-15,Invalid,SPAIN,Alicante,Swimming,Minor injury when he attempted to touch a fish. ,N
160,2015.08.10,10-Aug-15,Provoked,USA,California,Spearfishing,Right hand bitten  PROVOKED INCIDENT,N
161,2015.07.31,31-Jul-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",N
162,2015.07.26.b,26-Jul-15,Unprovoked,USA,Florida,Surfing,Minor injury to sole of foot,N
163,2015.07.26.a,26-Jul-15,Invalid,USA,South Carolina,Floating,"2' cut to dorsum of foot, 2 puncture wounds to sole",N
164,2015.07.25,25-Jul-15,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,FATAL,Y
165,2015.07.23.b,23-Jul-15,Provoked,USA,California,Kayak Fishing,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N
166,2015.07.23.a,23-Jul-15,Unprovoked,AUSTRALIA,Victoria,Surfing,Left hand bitten,N
167,2015.07.22,22-Jul-15,Unprovoked,REUNION,,Surfing,Arm bitten,N
168,2015.07.19,19-Jul-15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,No injury,N
169,2015.07-10,10-Jul-15,Unprovoked,USA,California,Surfing,"No injury, shark bumped & damaged board",N
170,2015.07.08,08-Jul-15,Invalid,USA,California,Treading water,Laceration to back,N
171,2015.07.06,06-Jul-15,Invalid,FRENCH POLYNESIA,Bora Bora,Swimming,Parallel lacerations to torso inconsistent with shark bite,N
172,2015.07.04.b,04-Jul-15,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,Lacerations to lower leg & ankle,N
173,2015.07.04.a,04-Jul-15,Unprovoked,USA,North Carolina,,Lacerations to right hand & forearm,N
174,2015.07.03,03-Jul-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, shark bit surfboard",N
175,2015.07.02,02-Jul-15,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,Significant injuries to lower legs,N
176,2015.07.01,01-Jul-15,Unprovoked,USA,North Carolina,Swimming,"Injuries to torso, hip, lower leg & hands",N
177,2015.06.30.b,30-Jun-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Hand bitten,N
178,2015.06.30.a,30-Jun-15,Unprovoked,USA,South Carolina,Playing in the water,Shallow lacerations & puncture to lateral left leg,N
179,2015.06.27.b,27-Jun-15,Unprovoked,USA,North Carolina,Swimming,"Injuries to right calf, buttock and both hands",N
180,2015.06.27.a,27-Jun-15,Unprovoked,SOUTH AFRICA,Western Cape Province,Body Boarding,"Right leg severed, multiple lacerations to left leg",N
181,2015.06.26.c,26-Jun-15,Invalid,USA,Florida,Swimming,Minor lacerations to leg,N
182,2015.06.26.b,26-Jun-15,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Multiple lacerations to torso & leg,N
183,2015.06.26.a,26-Jun-15,Unprovoked,USA,South Carolina,Standing,Puncture wounds to foot,N
184,2015.06.25.R,Reported 25-Jun-2015,Provoked,AUSTRALIA,Western Australia,Swimming,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N
185,2015.06.25,25-Jun-15,Unprovoked,USA,North Carolina,Body surfing?,Multiple lacerations to back,N
186,2015.06.24.b,24-Jun-15,Unprovoked,USA,North Carolina,Swimming,Minor injury to foot,N
187,2015.06.24.a,24-Jun-15,Invalid,AUSTRALIA,Western Australia,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
188,2015.06.23,23-Jun-15,Unprovoked,USA,South Carolina,Standing,Minor injury to calf ,N
189,2015.06.19,19-Jun-15,Unprovoked,PUERTO RICO,,Spearfishing,Injury to hand,N
190,2015.06.17,17-Jun-15,Unprovoked,USA,Florida,Swimming,Minor injury to calf ,N
191,2015.06.14.b,14-Jun-15,Unprovoked,USA,North Carolina,Wading,Arm amputated below shoulder,N
192,2015.06.14.a,14-Jun-15,Unprovoked,USA,North Carolina,Wading,Left arm amputated at elbow & severe injury to leg,N
193,2015.06.13,13-Jun-15,Unprovoked,USA,California,,Severe laceration to leg,N
194,2015.06.11,11-Jun-15,Unprovoked,USA,North Carolina,Boogie boarding,Minor lacerations to foot,N
195,2015.06.07,07-Jun-15,Unprovoked,USA,Florida,Playing,Lacerations to right calf,N
196,2015.06.05,05-Jun-15,Unprovoked,USA,Florida,Attempting to rescue a shark,Puncture wound to finger,N
197,2015.06.01,01-Jun-15,Unprovoked,REUNION,Le Port,Surfing,Left forearm bitten,N
198,2015.05.29.b,29-May-15,Unprovoked,USA,Florida,Standing,Left foot bitten,N
199,2015.05.29.a,29-May-15,Unprovoked,USA,Florida,Wading,Minor lacerations to dorsum of right foot,N
200,2015.05.25,25-May-15,Unprovoked,FRENCH POLYNESIA,Rangiroa,Spearfishing,Lacerations to right forearm,N
201,2015.05.24,24-May-15,Unprovoked,USA,Florida,Swimming,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N
202,2015.05.20,20-May-15,Unprovoked,USA,Florida,Surfing,2 puncture wounds to  dorsum of left foot,N
203,2015.05.15,15-May-15,Unprovoked,USA,South Carolina,,Laceration to foot ,N
204,2015.05.09,09-May-15,Unprovoked,NEW CALEDONIA,,Snorkeling,FATAL,Y
205,2015.05.07,07-May-15,Unprovoked,USA,Florida,Swimming,"Lacerations to lower left leg, ankle & foot",N
206,2015.05.03,03-May-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Injuries to left arm & right hand,N
207,2015.05.02,02-May-15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Diving,"Injuries to leg, left arm & both hands",N
208,2015.04.29,29-Apr-15,Unprovoked,USA,Hawaii,Snorkeling,FATAL,Y
209,2015.04.26,26-Apr-15,Unprovoked,USA,Florida,Wading,Lacerations to left calf,N
210,2015.04.25,25-Apr-15,Unprovoked,AUSTRALIA,South Australia,Surfing,Leg severed at mid-thigh,N
211,2015.04.24.c,24-Jun-15,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,"No injury, knocked off ski",N
212,2015.04.13,13-Apr-15,Unprovoked,USA,Florida,Photographing the shark,Lacerations to shoulder and left bicep,N
213,2015.04.11,11-Apr-15,Unprovoked,AUSTRALIA,New South Wales,Paddle boarding,Ankle injured,N
214,2015.04.12,12-Apr-15,Unprovoked,REUNION,Saint-Gilles-les-Bains,Surfing,FATAL,Y
215,2015.03.31,31-Mar-15,Invalid,BRAZIL,Pernambuco,Surfing,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N
216,2015.04.03,03-Apr-15,Unprovoked,USA,Florida,Spearfishing,Injuries to head & torso,N
217,2015.03.29,29-Mar-15,Invalid,ITALY,Sardinia,Diving,"FATAL, but shark involvement prior to death unconfirmed",Y
218,2015.03.26,26-Mar-15,Boat,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,No injury but kayak bitten,N
219,2015.03.21,21-Mar-15,Unprovoked,EGYPT,,Swimming,FATAL,Y
220,2015.03.18,18-Mar-15,Unprovoked,USA,Hawaii,Standing / Snorkeling,Lacerations to left forearm. Lacerations to left hand and thigh,N
221,2015.03.16,16-Mar-15,Unprovoked,FRENCH POLYNESIA,Bora Bora,Hand feeding sharks,Hand bitten,N
222,2015.03.11,11-Mar-15,Boat,AUSTRALIA,New South Wales,Fishing,Bruised in falling overboard as shark bumped boat,N
223,2015.03.10,10-Mar-15,Provoked,MEXICO,Sinaloa,Fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,N
224,2015.03.07,07-Mar-15,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,Sitting in the water,Thigh bitten,N
225,2015.02.15,15-Feb-15,Boat,ATLANTIC OCEAN,,Transatlantic Rowing,"No injury, shark bit rudder",N
226,2015.02.14,14-Feb-15,Unprovoked,REUNION,dÉtang-Salé,Swimming,FATAL,Y
227,2015.02.09,09-Feb-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,FATAL,Y
228,2015.02.08,08-Feb-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,Laceration & puncture wounds to right flank & hip,N
229,2015.02.05,05-Feb-15,Unprovoked,AUSTRALIA,New South Wales,Bodysurfing,5 minor puncture wounds to lower left leg,N
230,2015.01.30,30-Jan-15,Boat,AUSTRALIA,Queensland,Rowing,"No injury, shark's teeth scratched hull",N
231,2015.01.27,27-Jan-15,Provoked,USA,Hawaii,Shark fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,N
232,2015.01.24,24-Jan-15,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, surfboard dented",N
233,2015.01.19.b,19-Jan-15,Boat,USA,Florida,Fishing,No injury but shark bit trolling motor & rammed boat,N
234,2015.01.19.a,19-Jan-15,Invalid,AUSTRALIA,New South Wales,Surfing & filming dolphins,Board snapped in two,N
235,2015.01.17,17-Jan-15,Boat,AUSTRALIA,New South Wales,Fishing,"Shark bumped boat, no injury to occupants",N
236,2015.01.16,16-Jan-15,Unprovoked,AUSTRALIA,New South Wales,Filming,Bitten on hand & wrist,N
237,2015.01.08,08-Jan-15,Invalid,USA,Florida,Swimming after falling overboard,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N
238,2015.01.06,06-Jan-15,Unprovoked,BAHAMAS,Abaco Islands,Snorkeling,Severe bite to right flank,N
239,2015.01.03,03-Jan-15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,"Lacerations to lower left leg, puncture wounds to sole of left foot",N
240,2015.01.01,01-Jan-15,Unprovoked,USA,Florida,,Leg bitten,N
241,2014.12.29.b,29-Dec-14,Unprovoked,AUSTRALIA,New South Wales,Surfing,Lacerations to both feet,N
242,2014.12.29.a,29-Dec-14,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,FATAL,Y
243,2014.12.28.d,28-Dec-14,Sea Disaster,GREECE,,,"Of 9 bodies recovered, one was bitten by a shark",N
